Time,Playercount
2017-12-14,1067
2017-12-15,1178
2017-12-16,1511
2017-12-17,1567
2017-12-18,1190
2017-12-19,1171
2017-12-20,1175
2017-12-21,1221
2017-12-22,1359
2017-12-23,1608
2017-12-24,1547
2017-12-25,1423
2017-12-26,1561
2017-12-27,1599
2017-12-28,1581
2017-12-29,1591
2017-12-30,1688
2017-12-31,1579
2018-01-01,1579
2018-01-02,1491
2018-01-03,1463
2018-01-04,1456
2018-01-05,1463
2018-01-06,1707
2018-01-07,1679
2018-01-08,1212
2018-01-09,1158
2018-01-10,1111
2018-01-11,957
2018-01-12,1258
2018-01-13,1753
2018-01-14,1686
2018-01-15,1326
2018-01-16,1209
2018-01-17,1174
2018-01-18,1169
2018-01-19,1258
2018-01-20,1622
2018-01-21,1654
2018-01-22,1183
2018-01-23,1109
2018-01-24,1147
2018-01-25,1146
2018-01-26,1289
2018-01-27,1647
2018-01-28,1689
2018-01-29,1225
2018-01-30,1203
2018-01-31,1189
2018-02-01,1176
2018-02-02,1186
2018-02-03,1713
2018-02-04,1744
2018-02-05,1244
2018-02-06,1220
2018-02-07,1239
2018-02-08,1221
2018-02-09,1322
2018-02-10,1260
2018-02-11,1709
2018-02-12,1271
2018-02-13,1219
2018-02-14,1155
2018-02-15,1168
2018-02-16,1245
2018-02-17,1551
2018-02-18,1595
2018-02-19,1239
2018-02-20,1119
2018-02-21,1108
2018-02-22,1123
2018-02-23,1181
2018-02-24,1520
2018-02-25,1554
2018-02-26,1147
2018-02-27,1137
2018-02-28,1184
2018-03-01,1201
2018-03-02,1306
2018-03-03,1616
2018-03-04,1605
2018-03-05,1129
2018-03-06,1078
2018-03-07,1116
2018-03-08,1108
2018-03-09,1179
2018-03-10,1495
2018-03-11,1524
2018-03-12,1084
2018-03-13,1063
2018-03-14,1038
2018-03-15,1065
2018-03-16,1207
2018-03-17,1585
2018-03-18,1618
2018-03-19,1143
2018-03-20,1085
2018-03-21,1138
2018-03-22,1087
2018-03-23,1134
2018-03-24,1484
2018-03-25,1525
2018-03-26,1133
2018-03-27,1109
2018-03-28,1118
2018-03-29,1186
2018-03-30,1402
2018-03-31,1469
2018-04-01,1458
2018-04-02,1353
2018-04-03,1116
2018-04-04,1117
2018-04-05,1087
2018-04-06,1169
2018-04-07,1389
2018-04-08,1386
2018-04-09,1057
2018-04-10,1018
2018-04-11,1037
2018-04-12,1045
2018-04-13,1149
2018-04-14,1405
2018-04-15,1471
2018-04-16,1067
2018-04-17,1034
2018-04-18,1013
2018-04-19,988
2018-04-20,1073
2018-04-21,1368
2018-04-22,1429
2018-04-23,1070
2018-04-24,1064
2018-04-25,1066
2018-04-26,1045
2018-04-27,1091
2018-04-28,1355
2018-04-29,1471
2018-04-30,1243
2018-05-01,1245
2018-05-02,1068
2018-05-03,1012
2018-05-04,1053
2018-05-05,1282
2018-05-06,1347
2018-05-07,1040
2018-05-08,1020
2018-05-09,1002
2018-05-10,1127
2018-05-11,1113
2018-05-12,1338
2018-05-13,1369
2018-05-14,985
2018-05-15,982
2018-05-16,983
2018-05-17,1003
2018-05-18,1068
2018-05-19,1322
2018-05-20,1414
2018-05-21,1171
2018-05-22,1029
2018-05-23,1033
2018-05-24,992
2018-05-25,1039
2018-05-26,1241
2018-05-27,1298
2018-05-28,1140
2018-05-29,1030
2018-05-30,1020
2018-05-31,1084
2018-06-01,1086
2018-06-02,1326
2018-06-03,1318
2018-06-04,1020
2018-06-05,992
2018-06-06,998
2018-06-07,1006
2018-06-08,1044
2018-06-09,1263
2018-06-10,1334
2018-06-11,1039
2018-06-12,1021
2018-06-13,1018
2018-06-14,974
2018-06-15,986
2018-06-16,1168
2018-06-17,1257
2018-06-18,1006
2018-06-19,975
2018-06-20,1000
2018-06-21,970
2018-06-22,1068
2018-06-23,1288
2018-06-24,1375
2018-06-25,1128
2018-06-26,1102
2018-06-27,1093
2018-06-28,1105
2018-06-29,1149
2018-06-30,1295
2018-07-01,1360
2018-07-02,1150
2018-07-03,1125
2018-07-04,1214
2018-07-05,1202
2018-07-06,1169
2018-07-07,1320
2018-07-08,1381
2018-07-09,1158
2018-07-10,1097
2018-07-11,1069
2018-07-12,1068
2018-07-13,1130
2018-07-14,1265
2018-07-15,1322
2018-07-16,1135
2018-07-17,1112
2018-07-18,1100
2018-07-19,1075
2018-07-20,1121
2018-07-21,1282
2018-07-22,1357
2018-07-23,1164
2018-07-24,1109
2018-07-25,1096
2018-07-26,1104
2018-07-27,1128
2018-07-28,1290
2018-07-29,1386
2018-07-30,1159
2018-07-31,1110
2018-08-01,1089
2018-08-02,1075
2018-08-03,1091
2018-08-04,1254
2018-08-05,1315
2018-08-06,1138
2018-08-07,1123
2018-08-08,1094
2018-08-09,1129
2018-08-10,1141
2018-08-11,1301
2018-08-12,1327
2018-08-13,1177
2018-08-14,1126
2018-08-15,1138
2018-08-16,1080
2018-08-17,1130
2018-08-18,1278
2018-08-19,1338
2018-08-20,1117
2018-08-21,1079
2018-08-22,1075
2018-08-23,1084
2018-08-24,1123
2018-08-25,1297
2018-08-26,1405
2018-08-27,1166
2018-08-28,1103
2018-08-29,1097
2018-08-30,1108
2018-08-31,1169
2018-09-01,1353
2018-09-02,1406
2018-09-03,1229
2018-09-04,1061
2018-09-05,1035
2018-09-06,1008
2018-09-07,1089
2018-09-08,1362
2018-09-09,1407
2018-09-10,1042
2018-09-11,1010
2018-09-12,991
2018-09-13,991
2018-09-14,1060
2018-09-15,1334
2018-09-16,1389
2018-09-17,1021
2018-09-18,983
2018-09-19,1020
2018-09-20,981
2018-09-21,1075
2018-09-22,1383
2018-09-23,1477
2018-09-24,1033
2018-09-25,1006
2018-09-26,991
2018-09-27,980
2018-09-28,1242
2018-09-29,1713
2018-09-30,1880
2018-10-01,1486
2018-10-02,1381
2018-10-03,1388
2018-10-04,1297
2018-10-05,1374
2018-10-06,1670
2018-10-07,1645
2018-10-08,1230
2018-10-09,1111
2018-10-10,1102
2018-10-11,1083
2018-10-12,1183
2018-10-13,1442
2018-10-14,1526
2018-10-15,1098
2018-10-16,1054
2018-10-17,1046
2018-10-18,1039
2018-10-19,1169
2018-10-20,1474
2018-10-21,1479
2018-10-22,1068
2018-10-23,1041
2018-10-24,1023
2018-10-25,1021
2018-10-26,1127
2018-10-27,1401
2018-10-28,1454
2018-10-29,1067
2018-10-30,1029
2018-10-31,1021
2018-11-01,1137
2018-11-02,1141
2018-11-03,1376
2018-11-04,1373
2018-11-05,991
2018-11-06,935
2018-11-07,945
2018-11-08,921
2018-11-09,1027
2018-11-10,1340
2018-11-11,1370
2018-11-12,1045
2018-11-13,957
2018-11-14,931
2018-11-15,956
2018-11-16,1057
2018-11-17,1372
2018-11-18,1402
2018-11-19,1044
2018-11-20,1060
2018-11-21,1221
2018-11-22,1231
2018-11-23,1294
2018-11-24,1545
2018-11-25,1565
2018-11-26,1091
2018-11-27,1049
2018-11-28,1069
2018-11-29,1058
2018-11-30,1175
2018-12-01,1510
2018-12-02,1580
2018-12-03,1112
2018-12-04,1068
2018-12-05,1065
2018-12-06,1075
2018-12-07,1127
2018-12-08,1482
2018-12-09,1520
2018-12-10,1082
2018-12-11,1040
2018-12-12,1035
2018-12-13,1015
2018-12-14,1119
2018-12-15,1418
2018-12-16,1496
2018-12-17,1098
2018-12-18,1072
2018-12-19,1095
2018-12-20,1103
2018-12-21,1232
2018-12-22,1520
2018-12-23,1606
2018-12-24,1431
2018-12-25,1370
2018-12-26,1453
2018-12-27,1454
2018-12-28,1492
2018-12-29,1546
2018-12-30,1635
2018-12-31,1413
2019-01-01,1489
2019-01-02,1406
2019-01-03,1318
2019-01-04,1346
2019-01-05,1508
2019-01-06,1492
2019-01-07,1121
2019-01-08,1079
2019-01-09,1081
2019-01-10,1060
2019-01-11,1184
2019-01-12,1507
2019-01-13,1565
2019-01-14,1110
2019-01-15,1070
2019-01-16,1099
2019-01-17,1101
2019-01-18,1207
2019-01-19,1572
2019-01-20,1596
2019-01-21,1255
2019-01-22,1152
2019-01-23,1171
2019-01-24,1124
2019-01-25,1207
2019-01-26,1550
2019-01-27,1593
2019-01-28,1131
2019-01-29,1111
2019-01-30,1139
2019-01-31,1161
2019-02-01,1229
2019-02-02,1538
2019-02-03,1587
2019-02-04,1130
2019-02-05,1128
2019-02-06,1152
2019-02-07,1185
2019-02-08,1287
2019-02-09,1604
2019-02-10,1642
2019-02-11,1247
2019-02-12,1200
2019-02-13,1177
2019-02-14,1088
2019-02-15,1213
2019-02-16,1526
2019-02-17,1568
2019-02-18,1272
2019-02-19,1152
2019-02-20,1168
2019-02-21,1151
2019-02-22,1221
2019-02-23,1517
2019-02-24,1538
2019-02-25,1131
2019-02-26,1103
