Time,Playercount
2017-12-14,306
2017-12-15,351
2017-12-16,480
2017-12-17,436
2017-12-18,321
2017-12-19,300
2017-12-20,307
2017-12-21,340
2017-12-22,644
2017-12-23,920
2017-12-24,930
2017-12-25,901
2017-12-26,1019
2017-12-27,1103
2017-12-28,1102
2017-12-29,1151
2017-12-30,1224
2017-12-31,1224
2018-01-01,1122
2018-01-02,1000
2018-01-03,996
2018-01-04,1016
2018-01-05,944
2018-01-06,935
2018-01-07,804
2018-01-08,564
2018-01-09,502
2018-01-10,441
2018-01-11,427
2018-01-12,479
2018-01-13,635
2018-01-14,589
2018-01-15,442
2018-01-16,398
2018-01-17,398
2018-01-18,384
2018-01-19,411
2018-01-20,556
2018-01-21,525
2018-01-22,385
2018-01-23,353
2018-01-24,340
2018-01-25,366
2018-01-26,395
2018-01-27,499
2018-01-28,484
2018-01-29,447
2018-01-30,1504
2018-01-31,1734
2018-02-01,1253
2018-02-02,1054
2018-02-03,1102
2018-02-04,920
2018-02-05,645
2018-02-06,561
2018-02-07,523
2018-02-08,482
2018-02-09,501
2018-02-10,461
2018-02-11,466
2018-02-12,445
2018-02-13,426
2018-02-14,435
2018-02-15,697
2018-02-16,749
2018-02-17,853
2018-02-18,853
2018-02-19,720
2018-02-20,591
2018-02-21,517
2018-02-22,488
2018-02-23,477
2018-02-24,571
2018-02-25,521
2018-02-26,361
2018-02-27,348
2018-02-28,342
2018-03-01,321
2018-03-02,363
2018-03-03,479
2018-03-04,462
2018-03-05,293
2018-03-06,271
2018-03-07,277
2018-03-08,279
2018-03-09,321
2018-03-10,445
2018-03-11,407
2018-03-12,258
2018-03-13,251
2018-03-14,248
2018-03-15,245
2018-03-16,300
2018-03-17,410
2018-03-18,374
2018-03-19,240
2018-03-20,206
2018-03-21,223
2018-03-22,208
2018-03-23,249
2018-03-24,369
2018-03-25,355
2018-03-26,246
2018-03-27,226
2018-03-28,223
2018-03-29,254
2018-03-30,328
2018-03-31,334
2018-04-01,319
2018-04-02,257
2018-04-03,225
2018-04-04,235
2018-04-05,270
2018-04-06,271
2018-04-07,325
2018-04-08,299
2018-04-09,191
2018-04-10,186
2018-04-11,178
2018-04-12,194
2018-04-13,225
2018-04-14,322
2018-04-15,293
2018-04-16,199
2018-04-17,181
2018-04-18,182
2018-04-19,184
2018-04-20,227
2018-04-21,311
2018-04-22,299
2018-04-23,193
2018-04-24,178
2018-04-25,175
2018-04-26,179
2018-04-27,193
2018-04-28,280
2018-04-29,323
2018-04-30,264
2018-05-01,238
2018-05-02,174
2018-05-03,165
2018-05-04,203
2018-05-05,291
2018-05-06,286
2018-05-07,178
2018-05-08,174
2018-05-09,178
2018-05-10,181
2018-05-11,199
2018-05-12,288
2018-05-13,278
2018-05-14,170
2018-05-15,173
2018-05-16,168
2018-05-17,173
2018-05-18,203
2018-05-19,300
2018-05-20,290
2018-05-21,202
2018-05-22,190
2018-05-23,180
2018-05-24,197
2018-05-25,243
2018-05-26,324
2018-05-27,306
2018-05-28,252
2018-05-29,226
2018-05-30,217
2018-05-31,239
2018-06-01,259
2018-06-02,304
2018-06-03,304
2018-06-04,218
2018-06-05,214
2018-06-06,222
2018-06-07,215
2018-06-08,252
2018-06-09,317
2018-06-10,300
2018-06-11,228
2018-06-12,222
2018-06-13,232
2018-06-14,229
2018-06-15,247
2018-06-16,302
2018-06-17,303
2018-06-18,247
2018-06-19,236
2018-06-20,244
2018-06-21,247
2018-06-22,497
2018-06-23,702
2018-06-24,732
2018-06-25,715
2018-06-26,686
2018-06-27,634
2018-06-28,608
2018-06-29,635
2018-06-30,682
2018-07-01,693
2018-07-02,622
2018-07-03,577
2018-07-04,607
2018-07-05,631
2018-07-06,563
2018-07-07,551
2018-07-08,515
2018-07-09,429
2018-07-10,399
2018-07-11,386
2018-07-12,364
2018-07-13,385
2018-07-14,411
2018-07-15,398
2018-07-16,355
2018-07-17,352
2018-07-18,326
2018-07-19,337
2018-07-20,330
2018-07-21,371
2018-07-22,365
2018-07-23,326
2018-07-24,308
2018-07-25,297
2018-07-26,305
2018-07-27,295
2018-07-28,327
2018-07-29,324
2018-07-30,289
2018-07-31,279
2018-08-01,275
2018-08-02,258
2018-08-03,266
2018-08-04,297
2018-08-05,301
2018-08-06,256
2018-08-07,235
2018-08-08,241
2018-08-09,236
2018-08-10,234
2018-08-11,278
2018-08-12,294
2018-08-13,246
2018-08-14,232
2018-08-15,230
2018-08-16,218
2018-08-17,231
2018-08-18,273
2018-08-19,279
2018-08-20,239
2018-08-21,222
2018-08-22,226
2018-08-23,221
2018-08-24,239
2018-08-25,288
2018-08-26,283
2018-08-27,219
2018-08-28,215
2018-08-29,225
2018-08-30,230
2018-08-31,234
2018-09-01,294
2018-09-02,278
2018-09-03,211
2018-09-04,173
2018-09-05,154
2018-09-06,152
2018-09-07,186
2018-09-08,263
2018-09-09,259
2018-09-10,163
2018-09-11,155
2018-09-12,147
2018-09-13,147
2018-09-14,186
2018-09-15,263
2018-09-16,255
2018-09-17,171
2018-09-18,148
2018-09-19,148
2018-09-20,154
2018-09-21,183
2018-09-22,268
2018-09-23,264
2018-09-24,187
2018-09-25,144
2018-09-26,144
2018-09-27,143
2018-09-28,167
2018-09-29,227
2018-09-30,246
2018-10-01,192
2018-10-02,180
2018-10-03,186
2018-10-04,180
2018-10-05,193
2018-10-06,252
2018-10-07,243
2018-10-08,168
2018-10-09,150
2018-10-10,137
2018-10-11,133
2018-10-12,179
2018-10-13,256
2018-10-14,243
2018-10-15,160
2018-10-16,144
2018-10-17,138
2018-10-18,132
2018-10-19,172
2018-10-20,230
2018-10-21,233
2018-10-22,142
2018-10-23,131
2018-10-24,135
2018-10-25,135
2018-10-26,165
2018-10-27,228
2018-10-28,224
2018-10-29,162
2018-10-30,369
2018-10-31,524
2018-11-01,603
2018-11-02,550
2018-11-03,550
2018-11-04,461
2018-11-05,261
2018-11-06,228
2018-11-07,212
2018-11-08,197
2018-11-09,240
2018-11-10,337
2018-11-11,305
2018-11-12,180
2018-11-13,168
2018-11-14,166
2018-11-15,173
2018-11-16,205
2018-11-17,293
2018-11-18,273
2018-11-19,171
2018-11-20,164
2018-11-21,187
2018-11-22,314
2018-11-23,504
2018-11-24,688
2018-11-25,655
2018-11-26,442
2018-11-27,416
2018-11-28,356
2018-11-29,321
2018-11-30,354
2018-12-01,449
2018-12-02,405
2018-12-03,234
2018-12-04,214
2018-12-05,216
2018-12-06,212
2018-12-07,228
2018-12-08,314
2018-12-09,302
2018-12-10,186
2018-12-11,182
2018-12-12,174
2018-12-13,161
2018-12-14,202
2018-12-15,286
2018-12-16,263
2018-12-17,181
2018-12-18,175
2018-12-19,177
2018-12-20,198
2018-12-21,373
2018-12-22,548
2018-12-23,576
2018-12-24,498
2018-12-25,528
2018-12-26,597
2018-12-27,613
2018-12-28,642
2018-12-29,688
2018-12-30,775
2018-12-31,796
2019-01-01,703
2019-01-02,613
2019-01-03,588
2019-01-04,540
2019-01-05,550
2019-01-06,479
2019-01-07,351
2019-01-08,313
2019-01-09,289
2019-01-10,281
2019-01-11,311
2019-01-12,409
2019-01-13,364
2019-01-14,252
2019-01-15,240
2019-01-16,245
2019-01-17,243
2019-01-18,278
2019-01-19,352
2019-01-20,353
2019-01-21,270
2019-01-22,245
2019-01-23,249
2019-01-24,237
2019-01-25,245
2019-01-26,298
2019-01-27,312
2019-01-28,234
2019-01-29,219
2019-01-30,223
2019-01-31,230
2019-02-01,241
2019-02-02,290
2019-02-03,299
2019-02-04,242
2019-02-05,225
2019-02-06,211
2019-02-07,198
2019-02-08,219
2019-02-09,256
2019-02-10,268
2019-02-11,193
2019-02-12,190
2019-02-13,173
2019-02-14,175
2019-02-15,195
2019-02-16,242
2019-02-17,240
2019-02-18,201
2019-02-19,164
2019-02-20,162
2019-02-21,159
2019-02-22,175
2019-02-23,222
2019-02-24,237
2019-02-25,147
2019-02-26,143
2019-02-27,148
2019-02-28,156
2019-03-01,172
2019-03-02,235
2019-03-03,232
2019-03-04,162
2019-03-05,153
2019-03-06,148
2019-03-07,148
2019-03-08,180
2019-03-09,238
2019-03-10,234
2019-03-11,142
2019-03-12,136
2019-03-13,134
2019-03-14,134
2019-03-15,168
2019-03-16,233
2019-03-17,220
2019-03-18,151
2019-03-19,137
2019-03-20,139
2019-03-21,135
2019-03-22,171
2019-03-23,237
2019-03-24,234
2019-03-25,151
2019-03-26,145
2019-03-27,140
2019-03-28,136
2019-03-29,164
2019-03-30,234
2019-03-31,226
2019-04-01,124
2019-04-02,123
2019-04-03,125
2019-04-04,141
2019-04-05,181
2019-04-06,214
2019-04-07,199
2019-04-08,126
2019-04-09,131
2019-04-10,124
2019-04-11,126
2019-04-12,165
2019-04-13,228
2019-04-14,222
2019-04-15,144
2019-04-16,142
2019-04-17,133
2019-04-18,148
2019-04-19,181
2019-04-20,169
2019-04-21,215
2019-04-22,153
2019-04-23,136
2019-04-24,137
2019-04-25,130
2019-04-26,153
2019-04-27,207
2019-04-28,188
2019-04-29,137
2019-04-30,153
2019-05-01,193
2019-05-02,176
2019-05-03,185
2019-05-04,211
2019-05-05,207
2019-05-06,134
2019-05-07,137
2019-05-08,138
2019-05-09,135
2019-05-10,155
2019-05-11,209
2019-05-12,201
2019-05-13,116
2019-05-14,118
2019-05-15,120
2019-05-16,122
2019-05-17,144
2019-05-18,193
2019-05-19,194
2019-05-20,125
2019-05-21,117
2019-05-22,116
2019-05-23,116
2019-05-24,148
