Time,Playercount
2017-12-14,107
2017-12-15,110
2017-12-16,126
2017-12-17,132
2017-12-18,119
2017-12-19,120
2017-12-20,126
2017-12-21,128
2017-12-22,118
2017-12-23,132
2017-12-24,133
2017-12-25,112
2017-12-26,121
2017-12-27,136
2017-12-28,139
2017-12-29,139
2017-12-30,129
2017-12-31,133
2018-01-01,131
2018-01-02,136
2018-01-03,139
2018-01-04,138
2018-01-05,128
2018-01-06,139
2018-01-07,142
2018-01-08,132
2018-01-09,122
2018-01-10,124
2018-01-11,117
2018-01-12,117
2018-01-13,132
2018-01-14,138
2018-01-15,126
2018-01-16,133
2018-01-17,133
2018-01-18,133
2018-01-19,130
2018-01-20,138
2018-01-21,144
2018-01-22,126
2018-01-23,125
2018-01-24,123
2018-01-25,122
2018-01-26,120
2018-01-27,147
2018-01-28,151
2018-01-29,131
2018-01-30,120
2018-01-31,128
2018-02-01,126
2018-02-02,125
2018-02-03,147
2018-02-04,149
2018-02-05,136
2018-02-06,133
2018-02-07,140
2018-02-08,131
2018-02-09,128
2018-02-10,131
2018-02-12,127
2018-02-13,121
2018-02-14,115
2018-02-15,107
2018-02-16,121
2018-02-17,131
2018-02-18,136
2018-02-19,122
2018-02-20,125
2018-02-21,130
2018-02-22,130
2018-02-23,128
2018-02-24,135
2018-02-25,148
2018-02-26,136
2018-02-27,126
2018-02-28,129
2018-03-01,132
2018-03-02,136
2018-03-03,142
2018-03-04,150
2018-03-05,136
2018-03-06,126
2018-03-07,134
2018-03-08,127
2018-03-09,133
2018-03-10,153
2018-03-11,147
2018-03-12,137
2018-03-13,134
2018-03-14,128
2018-03-15,118
2018-03-16,124
2018-03-17,143
2018-03-18,146
2018-03-19,118
2018-03-20,118
2018-03-21,123
2018-03-22,127
2018-03-23,123
2018-03-24,139
2018-03-25,140
2018-03-26,118
2018-03-27,133
2018-03-28,115
2018-03-29,121
2018-03-30,128
2018-03-31,123
2018-04-01,125
2018-04-02,119
2018-04-03,127
2018-04-04,120
2018-04-05,124
2018-04-06,122
2018-04-07,133
2018-04-08,132
2018-04-09,124
2018-04-10,114
2018-04-11,115
2018-04-12,112
2018-04-13,112
2018-04-14,127
2018-04-15,135
2018-04-16,112
2018-04-17,119
2018-04-18,124
2018-04-19,129
2018-04-20,123
2018-04-21,137
2018-04-22,145
2018-04-23,128
2018-04-24,118
2018-04-25,123
2018-04-26,119
2018-04-27,119
2018-04-28,130
2018-04-29,126
2018-04-30,117
2018-05-01,118
2018-05-02,116
2018-05-03,107
2018-05-04,116
2018-05-05,129
2018-05-06,132
2018-05-07,122
2018-05-08,107
2018-05-09,95
2018-05-10,101
2018-05-11,115
2018-05-12,118
2018-05-13,117
2018-05-14,100
2018-05-15,101
2018-05-16,103
2018-05-17,108
2018-05-18,100
2018-05-19,112
2018-05-20,125
2018-05-21,103
2018-05-22,92
2018-05-23,95
2018-05-24,92
2018-05-25,101
2018-05-26,98
2018-05-27,117
2018-05-28,108
2018-05-29,108
2018-05-30,105
2018-05-31,107
2018-06-01,103
2018-06-02,110
2018-06-03,117
2018-06-04,115
2018-06-05,112
2018-06-06,107
2018-06-07,100
2018-06-08,97
2018-06-09,106
2018-06-10,104
2018-06-11,105
2018-06-12,114
2018-06-13,113
2018-06-14,108
2018-06-15,116
2018-06-16,110
2018-06-17,115
2018-06-18,114
2018-06-19,116
2018-06-20,122
2018-06-21,110
2018-06-22,112
2018-06-23,107
2018-06-24,121
2018-06-25,130
2018-06-26,131
2018-06-27,121
2018-06-28,119
2018-06-29,134
2018-06-30,141
2018-07-01,148
2018-07-02,144
2018-07-03,143
2018-07-04,151
2018-07-05,151
2018-07-06,145
2018-07-07,146
2018-07-08,144
2018-07-09,152
2018-07-10,148
2018-07-11,135
2018-07-12,124
2018-07-13,121
2018-07-14,124
2018-07-15,121
2018-07-16,130
2018-07-17,132
2018-07-18,133
2018-07-19,132
2018-07-20,132
2018-07-21,133
2018-07-22,137
2018-07-23,128
2018-07-24,136
2018-07-25,138
2018-07-26,129
2018-07-27,127
2018-07-28,123
2018-07-29,127
2018-07-30,131
2018-07-31,134
2018-08-01,128
2018-08-02,128
2018-08-03,143
2018-08-04,135
2018-08-05,143
2018-08-06,137
2018-08-07,123
2018-08-08,130
2018-08-09,124
2018-08-10,120
2018-08-11,126
2018-08-12,129
2018-08-13,129
2018-08-14,116
2018-08-15,113
2018-08-16,118
2018-08-17,113
2018-08-18,122
2018-08-19,129
2018-08-20,127
2018-08-21,124
2018-08-22,125
2018-08-23,125
2018-08-24,117
2018-08-25,122
2018-08-26,121
2018-08-27,115
2018-08-28,114
2018-08-29,115
2018-08-30,115
2018-08-31,115
2018-09-01,124
2018-09-02,119
2018-09-03,116
2018-09-04,111
2018-09-05,105
2018-09-06,102
2018-09-07,105
2018-09-08,114
2018-09-09,124
2018-09-10,103
2018-09-11,101
2018-09-12,101
2018-09-13,98
2018-09-14,97
2018-09-15,112
2018-09-16,121
2018-09-17,104
2018-09-18,104
