Time,Playercount
2017-12-14,892
2017-12-15,936
2017-12-16,1242
2017-12-17,1436
2017-12-18,952
2017-12-19,906
2017-12-20,862
2017-12-21,933
2017-12-22,1181
2017-12-23,1692
2017-12-24,1640
2017-12-25,1882
2017-12-26,2118
2017-12-27,2046
2017-12-28,2017
2017-12-29,1969
2017-12-30,2135
2017-12-31,1890
2018-01-01,2221
2018-01-02,2020
2018-01-03,1853
2018-01-04,1752
2018-01-05,1707
2018-01-06,1956
2018-01-07,2016
2018-01-08,1314
2018-01-09,1161
2018-01-10,993
2018-01-11,718
2018-01-12,1039
2018-01-13,1525
2018-01-14,1630
2018-01-15,1060
2018-01-16,984
2018-01-17,926
2018-01-18,897
2018-01-19,929
2018-01-20,1265
2018-01-21,1422
2018-01-22,893
2018-01-23,746
2018-01-24,740
2018-01-25,720
2018-01-26,781
2018-01-27,1025
2018-01-28,1155
2018-01-29,721
2018-01-30,646
2018-01-31,645
2018-02-01,625
2018-02-02,549
2018-02-03,931
2018-02-04,1025
2018-02-05,637
2018-02-06,596
2018-02-07,586
2018-02-08,582
2018-02-09,615
2018-02-10,393
2018-02-11,715
2018-02-12,609
2018-02-13,539
2018-02-14,479
2018-02-15,521
2018-02-16,591
2018-02-17,854
2018-02-18,968
2018-02-19,650
2018-02-20,583
2018-02-21,567
2018-02-22,554
2018-02-23,590
2018-02-24,752
2018-02-25,845
2018-02-26,531
2018-02-27,507
2018-02-28,493
2018-03-01,496
2018-03-02,516
2018-03-03,664
2018-03-04,732
2018-03-05,458
2018-03-06,434
2018-03-07,434
2018-03-08,447
2018-03-09,464
2018-03-10,577
2018-03-11,672
2018-03-12,436
2018-03-13,423
2018-03-14,405
2018-03-15,387
2018-03-16,431
2018-03-17,571
2018-03-18,652
2018-03-19,394
2018-03-20,378
2018-03-21,374
2018-03-22,356
2018-03-23,384
2018-03-24,512
2018-03-25,582
2018-03-26,392
2018-03-27,362
2018-03-28,373
2018-03-29,373
2018-03-30,486
2018-03-31,494
2018-04-01,530
2018-04-02,523
2018-04-03,418
2018-04-04,1011
2018-04-05,1447
2018-04-06,1657
2018-04-07,1894
2018-04-08,1916
2018-04-09,1299
2018-04-10,1163
2018-04-11,1035
2018-04-12,969
2018-04-13,926
2018-04-14,1144
2018-04-15,1219
2018-04-16,813
2018-04-17,710
2018-04-18,661
2018-04-19,623
2018-04-20,626
2018-04-21,832
2018-04-22,955
2018-04-23,626
2018-04-24,586
2018-04-25,563
2018-04-26,531
2018-04-27,536
2018-04-28,667
2018-04-29,792
2018-04-30,640
2018-05-01,735
2018-05-02,510
2018-05-03,460
2018-05-04,464
2018-05-05,598
2018-05-06,653
2018-05-07,431
2018-05-08,415
2018-05-09,405
2018-05-10,511
2018-05-11,464
2018-05-12,535
2018-05-13,615
2018-05-14,395
2018-05-15,381
2018-05-16,377
2018-05-17,367
2018-05-18,380
2018-05-19,513
2018-05-20,587
2018-05-21,546
2018-05-22,392
2018-05-23,368
2018-05-24,349
2018-05-25,357
2018-05-26,460
2018-05-27,547
2018-05-28,385
2018-05-29,352
2018-05-30,338
2018-05-31,415
2018-06-01,379
2018-06-02,456
2018-06-03,508
2018-06-04,316
2018-06-05,312
2018-06-06,301
2018-06-07,290
2018-06-08,312
2018-06-09,378
2018-06-10,473
2018-06-11,336
2018-06-12,335
2018-06-13,309
2018-06-14,295
2018-06-15,295
2018-06-16,414
2018-06-17,495
2018-06-18,347
2018-06-19,337
2018-06-20,316
2018-06-21,317
2018-06-22,398
2018-06-23,573
2018-06-24,706
2018-06-25,494
2018-06-26,479
2018-06-27,467
2018-06-28,492
2018-06-29,601
2018-06-30,765
2018-07-01,884
2018-07-02,609
2018-07-03,564
2018-07-04,600
2018-07-05,567
2018-07-06,583
2018-07-07,673
2018-07-08,772
2018-07-09,516
2018-07-10,487
2018-07-11,483
2018-07-12,463
2018-07-13,473
2018-07-14,590
2018-07-15,669
2018-07-16,455
2018-07-17,425
2018-07-18,396
2018-07-19,383
2018-07-20,391
2018-07-21,503
2018-07-22,585
2018-07-23,381
2018-07-24,359
2018-07-25,350
2018-07-26,353
2018-07-27,347
2018-07-28,464
2018-07-29,541
2018-07-30,380
2018-07-31,365
2018-08-01,340
2018-08-02,332
2018-08-03,320
2018-08-04,407
2018-08-05,476
2018-08-06,327
2018-08-07,317
2018-08-08,318
2018-08-09,297
2018-08-10,291
2018-08-11,371
2018-08-12,438
2018-08-13,307
2018-08-14,299
2018-08-15,323
2018-08-16,290
2018-08-17,307
2018-08-18,370
2018-08-19,433
2018-08-20,322
2018-08-21,310
2018-08-22,300
2018-08-23,320
2018-08-24,740
2018-08-25,1263
2018-08-26,1649
2018-08-27,1236
2018-08-28,1106
2018-08-29,975
2018-08-30,891
2018-08-31,871
2018-09-01,1054
2018-09-02,1142
2018-09-03,789
2018-09-04,658
2018-09-05,577
2018-09-06,541
2018-09-07,546
2018-09-08,701
2018-09-09,820
2018-09-10,524
2018-09-11,487
2018-09-12,452
2018-09-13,458
2018-09-14,462
2018-09-15,592
2018-09-16,658
2018-09-17,429
2018-09-18,401
2018-09-19,380
2018-09-20,365
2018-09-21,396
2018-09-22,532
2018-09-23,633
2018-09-24,403
2018-09-25,371
2018-09-26,363
2018-09-27,340
2018-09-28,365
2018-09-29,473
2018-09-30,542
2018-10-01,369
2018-10-02,367
2018-10-03,452
2018-10-04,357
2018-10-05,361
2018-10-06,456
2018-10-07,532
2018-10-08,346
2018-10-09,323
2018-10-10,300
2018-10-11,296
2018-10-12,312
2018-10-13,403
2018-10-14,476
2018-10-15,308
2018-10-16,286
2018-10-17,291
2018-10-18,290
2018-10-19,309
2018-10-20,424
2018-10-21,490
2018-10-22,317
2018-10-23,305
2018-10-24,298
2018-10-25,288
2018-10-26,299
2018-10-27,386
2018-10-28,458
2018-10-29,303
2018-10-30,283
2018-10-31,302
2018-11-01,359
2018-11-02,318
2018-11-03,389
2018-11-04,432
2018-11-05,286
2018-11-06,260
2018-11-07,254
2018-11-08,245
2018-11-09,254
2018-11-10,349
2018-11-11,419
2018-11-12,290
2018-11-13,250
2018-11-14,238
2018-11-15,236
2018-11-16,247
2018-11-17,331
2018-11-18,392
2018-11-19,252
2018-11-20,229
2018-11-21,244
2018-11-22,307
2018-11-23,404
2018-11-24,704
2018-11-25,859
2018-11-26,565
2018-11-27,531
2018-11-28,489
2018-11-29,476
2018-11-30,483
2018-12-01,632
2018-12-02,710
2018-12-03,428
2018-12-04,401
2018-12-05,388
2018-12-06,368
2018-12-07,384
2018-12-08,516
2018-12-09,576
2018-12-10,355
2018-12-11,317
2018-12-12,309
2018-12-13,300
2018-12-14,310
2018-12-15,414
2018-12-16,497
2018-12-17,322
2018-12-18,300
2018-12-19,299
2018-12-20,315
2018-12-21,354
2018-12-22,475
2018-12-23,559
2018-12-24,433
2018-12-25,530
2018-12-26,606
2018-12-27,567
2018-12-28,566
2018-12-29,606
2018-12-30,688
2018-12-31,547
2019-01-01,648
2019-01-02,593
2019-01-03,541
2019-01-04,564
2019-01-05,629
2019-01-06,673
2019-01-07,458
2019-01-08,438
2019-01-09,822
2019-01-10,1096
2019-01-11,1216
2019-01-12,1362
2019-01-13,1363
2019-01-14,905
2019-01-15,825
2019-01-16,750
2019-01-17,694
2019-01-18,663
2019-01-19,808
2019-01-20,876
2019-01-21,591
2019-01-22,530
2019-01-23,499
2019-01-24,482
2019-01-25,470
2019-01-26,610
2019-01-27,671
2019-01-28,443
2019-01-29,426
2019-01-30,387
2019-01-31,386
2019-02-01,406
2019-02-02,513
2019-02-03,571
2019-02-04,399
2019-02-05,370
2019-02-06,345
2019-02-07,339
2019-02-08,338
2019-02-09,447
2019-02-10,500
2019-02-11,327
2019-02-12,297
2019-02-13,284
2019-02-14,273
2019-02-15,289
2019-02-16,385
2019-02-17,439
2019-02-18,288
2019-02-19,291
2019-02-20,277
2019-02-21,269
2019-02-22,275
2019-02-23,367
2019-02-24,412
2019-02-25,277
2019-02-26,268
2019-02-27,248
2019-02-28,253
2019-03-01,277
2019-03-02,368
2019-03-03,427
2019-03-04,288
2019-03-05,272
2019-03-06,252
2019-03-07,249
2019-03-08,269
2019-03-09,348
2019-03-10,414
2019-03-11,184
2019-03-12,245
2019-03-13,243
2019-03-14,237
2019-03-15,251
2019-03-16,329
2019-03-17,383
2019-03-18,248
2019-03-19,226
2019-03-20,212
2019-03-21,204
2019-03-22,214
2019-03-23,289
2019-03-24,343
2019-03-25,224
2019-03-26,274
2019-03-27,311
2019-03-28,322
2019-03-29,342
2019-03-30,450
2019-03-31,530
2019-04-01,379
2019-04-02,321
2019-04-03,340
2019-04-04,331
2019-04-05,313
2019-04-06,405
2019-04-07,461
2019-04-08,296
2019-04-09,283
2019-04-10,266
2019-04-11,257
2019-04-12,277
2019-04-13,377
2019-04-14,442
2019-04-15,286
2019-04-16,270
2019-04-17,270
2019-04-18,259
2019-04-19,331
2019-04-20,268
2019-04-21,370
2019-04-22,354
2019-04-23,268
2019-04-24,248
2019-04-25,244
2019-04-26,259
2019-04-27,327
2019-04-28,388
2019-04-29,238
2019-04-30,237
2019-05-01,324
2019-05-02,236
2019-05-03,268
2019-05-04,334
2019-05-05,337
2019-05-06,226
2019-05-07,209
2019-05-08,218
2019-05-09,213
2019-05-10,227
2019-05-11,291
2019-05-12,332
2019-05-13,217
2019-05-14,206
2019-05-15,196
2019-05-16,206
2019-05-17,249
2019-05-18,359
2019-05-19,447
2019-05-20,319
2019-05-21,316
2019-05-22,293
2019-05-23,268
2019-05-24,267
2019-05-25,357
