Time,Playercount
2017-12-14,1061
2017-12-15,1160
2017-12-16,1553
2017-12-17,1697
2017-12-18,1274
2017-12-19,1205
2017-12-20,1165
2017-12-21,1289
2017-12-22,1607
2017-12-23,1939
2017-12-24,1754
2017-12-25,1551
2017-12-26,1978
2017-12-27,2293
2017-12-28,2381
2017-12-29,2489
2017-12-30,2739
2017-12-31,2504
2018-01-01,2624
2018-01-02,2582
2018-01-03,2456
2018-01-04,2528
2018-01-05,2417
2018-01-06,2852
2018-01-07,2940
2018-01-08,2020
2018-01-09,1766
2018-01-10,1493
2018-01-11,1663
2018-01-12,1881
2018-01-13,2480
2018-01-14,2593
2018-01-15,2072
2018-01-16,1709
2018-01-17,1631
2018-01-18,1621
2018-01-19,1787
2018-01-20,2448
2018-01-21,2670
2018-01-22,1793
2018-01-23,1551
2018-01-24,1519
2018-01-25,1506
2018-01-26,1594
2018-01-27,2158
2018-01-28,2252
2018-01-29,1529
2018-01-30,1380
2018-01-31,1305
2018-02-01,1323
2018-02-02,1325
2018-02-03,2109
2018-02-04,2255
2018-02-05,1387
2018-02-06,1269
2018-02-07,1318
2018-02-08,1300
2018-02-09,1410
2018-02-10,2362
2018-02-11,2702
2018-02-12,1518
2018-02-13,1283
2018-02-14,1125
2018-02-15,1131
2018-02-16,1597
2018-02-17,2296
2018-02-18,2538
2018-02-19,2061
2018-02-20,1616
2018-02-21,1540
2018-02-22,1469
2018-02-23,1565
2018-02-24,2071
2018-02-25,2218
2018-02-26,1463
2018-02-27,1345
2018-02-28,1330
2018-03-01,1314
2018-03-02,1390
2018-03-03,1977
2018-03-04,2071
2018-03-05,1403
2018-03-06,1217
2018-03-07,1267
2018-03-08,1256
2018-03-09,1324
2018-03-10,1794
2018-03-11,2013
2018-03-12,1327
2018-03-13,1242
2018-03-14,1233
2018-03-15,1209
2018-03-16,1346
2018-03-17,1859
2018-03-18,2007
2018-03-19,1351
2018-03-20,1157
2018-03-21,1201
2018-03-22,1196
2018-03-23,1295
2018-03-24,1842
2018-03-25,1928
2018-03-26,1375
2018-03-27,1249
2018-03-28,1223
2018-03-29,1274
2018-03-30,1541
2018-03-31,1722
2018-04-01,1768
2018-04-02,1482
2018-04-03,1258
2018-04-04,1219
2018-04-05,1277
2018-04-06,1387
2018-04-07,1957
2018-04-08,2094
2018-04-09,1403
2018-04-10,1242
2018-04-11,1166
2018-04-12,1199
2018-04-13,1317
2018-04-14,1863
2018-04-15,2065
2018-04-16,1376
2018-04-17,1208
2018-04-18,1175
2018-04-19,1178
2018-04-20,1258
2018-04-21,1758
2018-04-22,1943
2018-04-23,1297
2018-04-24,1155
2018-04-25,1134
2018-04-26,1107
2018-04-27,1187
2018-04-28,1732
2018-04-29,1919
2018-04-30,1372
2018-05-01,1274
2018-05-02,1105
2018-05-03,1111
2018-05-04,1246
2018-05-05,1657
2018-05-06,1808
2018-05-07,1238
2018-05-08,1169
2018-05-09,1178
2018-05-10,1265
2018-05-11,1314
2018-05-12,1690
2018-05-13,1802
2018-05-14,1248
2018-05-15,1174
2018-05-16,1160
2018-05-17,1151
2018-05-18,1271
2018-05-19,1736
2018-05-20,1919
2018-05-21,1513
2018-05-22,1273
2018-05-23,1195
2018-05-24,1191
2018-05-25,1259
2018-05-26,1643
2018-05-27,1738
2018-05-28,1548
2018-05-29,1286
2018-05-30,1232
2018-05-31,1271
2018-06-01,1340
2018-06-02,1737
2018-06-03,1914
2018-06-04,1335
2018-06-05,1225
2018-06-06,1264
2018-06-07,1213
2018-06-08,1370
2018-06-09,1669
2018-06-10,1804
2018-06-11,1355
2018-06-12,1247
2018-06-13,1182
2018-06-14,1197
2018-06-15,1192
2018-06-16,1607
2018-06-17,1626
2018-06-18,1281
2018-06-19,1318
2018-06-20,1309
2018-06-21,1319
2018-06-22,1959
2018-06-23,2523
2018-06-24,2824
2018-06-25,2395
2018-06-26,2297
2018-06-27,2265
2018-06-28,2144
2018-06-29,2273
2018-06-30,2702
2018-07-01,2836
2018-07-02,2361
2018-07-03,2299
2018-07-04,2536
2018-07-05,2246
2018-07-06,2251
2018-07-07,2454
2018-07-08,2660
2018-07-09,2163
2018-07-10,1969
2018-07-11,1869
2018-07-12,1827
2018-07-13,1928
2018-07-14,2297
2018-07-15,2407
2018-07-16,1927
2018-07-17,1741
2018-07-18,1768
2018-07-19,1715
