Time,Playercount
2017-12-14,1429
2017-12-15,2831
2017-12-16,3068
2017-12-17,3002
2017-12-18,2631
2017-12-19,1429
2017-12-20,1193
2017-12-21,1535
2017-12-22,2932
2017-12-23,2949
2017-12-24,2698
2017-12-25,2337
2017-12-26,2338
2017-12-27,2328
2017-12-28,1535
2017-12-29,2409
2017-12-30,2665
2017-12-31,2520
2018-01-01,2418
2018-01-02,2382
2018-01-03,1344
2018-01-04,1451
2018-01-05,2455
2018-01-06,2600
2018-01-07,2494
2018-01-08,2170
2018-01-09,1363
2018-01-10,1118
2018-01-11,1287
2018-01-12,2702
2018-01-13,2975
2018-01-14,2904
2018-01-15,2616
2018-01-16,1447
2018-01-17,1258
2018-01-18,1593
2018-01-19,2931
2018-01-20,3319
2018-01-21,3372
2018-01-22,2906
2018-01-23,1488
2018-01-24,1223
2018-01-25,1513
2018-01-26,2640
2018-01-27,2809
2018-01-28,2712
2018-01-29,2257
2018-01-30,1366
2018-01-31,1230
2018-02-01,1474
2018-02-02,2697
2018-02-03,3024
2018-02-04,2888
2018-02-05,2414
2018-02-06,1327
2018-02-07,1172
2018-02-08,1456
2018-02-09,2497
2018-02-10,2553
2018-02-11,2551
2018-02-12,2058
2018-02-13,1843
2018-02-14,1758
2018-02-15,1386
2018-02-16,2245
2018-02-17,2535
2018-02-18,2455
2018-02-19,2242
2018-02-20,1320
2018-02-21,1185
2018-02-22,1427
2018-02-23,2456
2018-02-24,2751
2018-02-25,2803
2018-02-26,2430
2018-02-27,1338
2018-02-28,1175
2018-03-01,1467
2018-03-02,2616
2018-03-03,2804
2018-03-04,2793
2018-03-05,2367
2018-03-06,1277
2018-03-07,1086
2018-03-08,1415
2018-03-09,2748
2018-03-10,3120
2018-03-11,3102
2018-03-12,2677
2018-03-13,1314
2018-03-14,1106
2018-03-15,1463
2018-03-16,2583
2018-03-17,2576
2018-03-18,2272
2018-03-19,1844
2018-03-20,1184
2018-03-21,1085
2018-03-22,1445
2018-03-23,2501
2018-03-24,2757
2018-03-25,2547
2018-03-26,2124
2018-03-27,1163
2018-03-28,1083
2018-03-29,1441
2018-03-30,2700
2018-03-31,2691
2018-04-01,2521
2018-04-02,2310
2018-04-03,1162
2018-04-04,1094
2018-04-05,1404
2018-04-06,2438
2018-04-07,2633
2018-04-08,2611
2018-04-09,2200
2018-04-10,1176
2018-04-11,1050
2018-04-12,1321
2018-04-13,2394
2018-04-14,2449
2018-04-15,2358
2018-04-16,1928
2018-04-17,1100
2018-04-18,1013
2018-04-19,1323
2018-04-20,2331
2018-04-21,2523
2018-04-22,2400
2018-04-23,1977
2018-04-24,1111
2018-04-25,1019
2018-04-26,1346
2018-04-27,2417
2018-04-28,2702
2018-04-29,2746
2018-04-30,2486
2018-05-01,1197
2018-05-02,1006
2018-05-03,1254
2018-05-04,2246
2018-05-05,2297
2018-05-06,2144
2018-05-07,1752
2018-05-08,1031
2018-05-09,935
2018-05-10,1318
2018-05-11,2440
2018-05-12,2566
2018-05-13,2485
2018-05-14,2096
2018-05-15,1145
2018-05-16,1134
2018-05-17,1169
2018-05-18,1466
2018-05-19,2397
2018-05-20,2299
2018-05-21,2033
2018-05-22,1767
2018-05-23,1193
2018-05-24,1368
2018-05-25,2190
2018-05-26,2307
2018-05-27,2242
2018-05-28,2037
2018-05-29,1257
2018-05-30,1161
2018-05-31,1437
2018-06-01,2342
2018-06-02,2495
2018-06-03,2464
2018-06-04,2168
2018-06-05,1192
2018-06-06,1106
2018-06-07,1346
2018-06-08,2074
2018-06-09,1988
2018-06-10,1833
2018-06-11,1545
2018-06-12,1068
2018-06-13,971
2018-06-14,1229
2018-06-15,1975
2018-06-16,2092
2018-06-17,2054
2018-06-18,1781
2018-06-19,1069
2018-06-20,1001
2018-06-21,1275
2018-06-22,2140
2018-06-23,2136
2018-06-24,2039
2018-06-25,1797
2018-06-26,1016
2018-06-27,944
2018-06-28,1158
2018-06-29,1921
2018-06-30,1936
2018-07-01,1815
2018-07-02,1549
2018-07-03,922
2018-07-04,873
2018-07-05,1128
2018-07-06,1844
2018-07-07,1855
2018-07-08,1775
2018-07-09,1544
2018-07-10,980
2018-07-11,884
2018-07-12,1144
2018-07-13,1976
2018-07-14,2004
2018-07-15,1910
2018-07-16,1699
2018-07-17,916
2018-07-18,873
2018-07-19,1134
2018-07-20,1804
2018-07-21,1792
2018-07-22,1668
2018-07-23,1471
2018-07-24,902
2018-07-25,820
2018-07-26,1038
2018-07-27,1711
2018-07-28,1713
2018-07-29,1662
2018-07-30,1435
2018-07-31,854
2018-08-01,776
2018-08-02,1017
2018-08-03,1575
2018-08-04,1592
2018-08-05,1484
2018-08-06,1308
2018-08-07,780
2018-08-08,751
2018-08-09,997
2018-08-10,1557
2018-08-11,1569
2018-08-12,1493
2018-08-13,1281
2018-08-14,841
2018-08-15,768
2018-08-16,998
2018-08-17,1738
2018-08-18,1882
2018-08-19,1890
2018-08-20,1697
2018-08-21,854
2018-08-22,761
2018-08-23,955
2018-08-24,1652
2018-08-25,1786
2018-08-26,1742
2018-08-27,1465
2018-08-28,822
2018-08-29,747
2018-08-30,1001
2018-08-31,1688
2018-09-01,1605
2018-09-02,1425
2018-09-03,1209
2018-09-04,750
2018-09-05,682
2018-09-06,902
2018-09-07,1638
2018-09-08,1671
2018-09-09,1637
2018-09-10,1398
2018-09-11,740
2018-09-12,638
2018-09-13,872
2018-09-14,1544
2018-09-15,1661
2018-09-16,1594
2018-09-17,1282
2018-09-18,722
2018-09-19,667
2018-09-20,883
2018-09-21,1631
2018-09-22,1820
2018-09-23,1839
2018-09-24,1599
2018-09-25,780
2018-09-26,691
