Time,Playercount
2017-12-14,75
2017-12-15,72
2017-12-16,85
2017-12-17,91
2017-12-18,80
2017-12-19,83
2017-12-20,75
2017-12-21,80
2017-12-22,102
2017-12-23,112
2017-12-24,102
2017-12-25,90
2017-12-26,109
2017-12-27,106
2017-12-28,108
2017-12-29,107
2017-12-30,106
2017-12-31,107
2018-01-01,109
2018-01-02,99
2018-01-03,98
2018-01-04,98
2018-01-05,96
2018-01-06,108
2018-01-07,105
2018-01-08,85
2018-01-09,87
2018-01-10,83
2018-01-11,80
2018-01-12,87
2018-01-13,99
2018-01-14,100
2018-01-15,84
2018-01-16,79
2018-01-17,86
2018-01-18,80
2018-01-19,85
2018-01-20,97
2018-01-21,106
2018-01-22,90
2018-01-23,79
2018-01-24,76
2018-01-25,75
2018-01-26,79
2018-01-27,93
2018-01-28,89
2018-01-29,73
2018-01-30,75
2018-01-31,76
2018-02-01,72
2018-02-02,68
2018-02-03,94
2018-02-04,100
2018-02-05,68
2018-02-06,67
2018-02-07,70
2018-02-08,73
2018-02-09,76
2018-02-10,91
2018-02-12,79
2018-02-13,73
2018-02-14,77
2018-02-15,76
2018-02-16,99
2018-02-17,113
2018-02-18,120
2018-02-19,106
2018-02-20,86
2018-02-21,84
2018-02-22,75
2018-02-23,83
2018-02-24,99
2018-02-25,99
2018-02-26,77
2018-02-27,75
2018-02-28,73
2018-03-01,72
2018-03-02,77
2018-03-03,95
2018-03-04,90
2018-03-05,74
2018-03-06,68
2018-03-07,72
2018-03-08,70
2018-03-09,76
2018-03-10,90
2018-03-11,88
2018-03-12,73
2018-03-13,77
2018-03-14,74
2018-03-15,75
2018-03-16,76
2018-03-17,88
2018-03-18,87
2018-03-19,77
2018-03-20,79
2018-03-21,76
2018-03-22,74
2018-03-23,74
2018-03-24,80
2018-03-25,77
2018-03-26,76
2018-03-27,73
2018-03-28,71
2018-03-29,69
2018-03-30,77
2018-03-31,80
2018-04-01,76
2018-04-02,72
2018-04-03,69
2018-04-04,70
2018-04-05,69
2018-04-06,68
2018-04-07,82
2018-04-08,76
2018-04-09,69
2018-04-10,66
2018-04-11,68
2018-04-12,74
2018-04-13,75
2018-04-14,84
2018-04-15,89
2018-04-16,75
2018-04-17,62
2018-04-18,60
2018-04-19,60
2018-04-20,64
2018-04-21,76
2018-04-22,79
2018-04-23,69
2018-04-24,70
2018-04-25,69
2018-04-26,75
2018-04-27,89
2018-04-28,105
2018-04-29,109
2018-04-30,102
2018-05-01,103
2018-05-02,92
2018-05-03,82
2018-05-04,84
2018-05-05,94
2018-05-06,94
2018-05-07,76
2018-05-08,69
2018-05-09,70
2018-05-10,69
2018-05-11,72
2018-05-12,86
2018-05-13,87
2018-05-14,66
2018-05-15,72
2018-05-16,69
2018-05-17,70
2018-05-18,77
2018-05-19,86
2018-05-20,81
2018-05-21,72
2018-05-22,69
2018-05-23,70
2018-05-24,67
2018-05-25,73
2018-05-26,78
2018-05-27,75
2018-05-28,78
2018-05-29,66
2018-05-30,67
2018-05-31,69
2018-06-01,69
2018-06-02,82
2018-06-03,82
2018-06-04,70
2018-06-05,64
2018-06-06,70
2018-06-07,70
2018-06-08,68
2018-06-09,78
2018-06-10,83
2018-06-11,71
2018-06-12,65
2018-06-13,65
2018-06-14,61
2018-06-15,63
2018-06-16,70
2018-06-17,77
2018-06-18,61
2018-06-19,65
2018-06-20,60
2018-06-21,61
2018-06-22,61
2018-06-23,59
2018-06-24,72
2018-06-25,61
2018-06-26,57
2018-06-27,54
2018-06-28,57
2018-06-29,58
2018-06-30,69
2018-07-01,62
2018-07-02,60
2018-07-03,58
2018-07-04,65
2018-07-05,58
2018-07-06,57
2018-07-07,63
2018-07-08,66
2018-07-09,64
2018-07-10,57
2018-07-11,61
2018-07-12,59
