Time,Playercount
2017-12-14,101
2017-12-15,116
2017-12-16,218
2017-12-17,596
2017-12-18,468
2017-12-19,332
2017-12-20,261
2017-12-21,236
2017-12-22,291
2017-12-23,356
2017-12-24,364
2017-12-25,352
2017-12-26,361
2017-12-27,361
2017-12-28,353
2017-12-29,341
2017-12-30,346
2017-12-31,361
2018-01-01,367
2018-01-02,340
2018-01-03,324
2018-01-04,322
2018-01-05,293
2018-01-06,271
2018-01-07,307
2018-01-08,314
2018-01-09,315
2018-01-10,317
2018-01-11,268
2018-01-12,530
2018-01-13,845
2018-01-14,885
2018-01-15,740
2018-01-16,504
2018-01-17,385
2018-01-18,278
2018-01-19,309
2018-01-20,355
2018-01-21,325
2018-01-22,232
2018-01-23,216
2018-01-24,205
2018-01-25,199
2018-01-26,205
2018-01-27,248
2018-01-28,233
2018-01-29,168
2018-01-30,158
2018-01-31,160
2018-02-01,155
2018-02-02,153
2018-02-03,212
2018-02-04,204
2018-02-05,149
2018-02-06,137
2018-02-07,129
2018-02-08,127
2018-02-09,115
2018-02-12,129
2018-02-13,124
2018-02-14,125
2018-02-15,135
2018-02-16,229
2018-02-17,332
2018-02-18,337
2018-02-19,287
2018-02-20,227
2018-02-21,194
2018-02-22,185
2018-02-23,186
2018-02-24,215
2018-02-25,199
2018-02-26,122
2018-02-27,123
2018-02-28,119
2018-03-01,121
2018-03-02,138
2018-03-03,178
2018-03-04,165
2018-03-05,117
2018-03-06,107
2018-03-07,119
2018-03-08,125
2018-03-09,131
2018-03-10,164
2018-03-11,156
2018-03-12,111
2018-03-13,102
2018-03-14,105
2018-03-15,102
2018-03-16,127
2018-03-17,157
2018-03-18,158
2018-03-19,107
2018-03-20,101
2018-03-21,107
2018-03-22,104
2018-03-23,111
2018-03-24,146
2018-03-25,145
2018-03-26,107
2018-03-27,105
2018-03-28,106
2018-03-29,113
2018-03-30,129
2018-03-31,133
2018-04-01,139
2018-04-02,117
2018-04-03,110
2018-04-04,114
2018-04-05,106
2018-04-06,117
2018-04-07,145
2018-04-08,140
2018-04-09,97
2018-04-10,93
2018-04-11,99
2018-04-12,107
2018-04-13,108
2018-04-14,142
2018-04-15,147
2018-04-16,102
2018-04-17,95
2018-04-18,93
2018-04-19,91
2018-04-20,103
2018-04-21,137
2018-04-22,131
2018-04-23,92
2018-04-24,91
2018-04-25,90
2018-04-26,88
2018-04-27,103
2018-04-28,131
2018-04-29,144
2018-04-30,118
2018-05-01,114
2018-05-02,97
2018-05-03,86
2018-05-04,103
2018-05-05,127
2018-05-06,130
2018-05-07,92
2018-05-08,88
2018-05-09,94
2018-05-10,135
2018-05-11,456
2018-05-12,698
2018-05-13,710
2018-05-14,483
2018-05-15,383
2018-05-16,298
2018-05-17,248
2018-05-18,237
2018-05-19,277
2018-05-20,242
2018-05-21,172
2018-05-22,165
2018-05-23,147
2018-05-24,157
2018-05-25,195
2018-05-26,216
2018-05-27,212
2018-05-28,174
2018-05-29,139
2018-05-30,137
2018-05-31,133
2018-06-01,141
2018-06-02,166
2018-06-03,153
2018-06-04,124
2018-06-05,131
2018-06-06,115
2018-06-07,117
2018-06-08,117
2018-06-09,146
2018-06-10,140
2018-06-11,131
2018-06-12,139
2018-06-13,129
2018-06-14,140
2018-06-15,136
2018-06-16,146
2018-06-17,146
2018-06-18,126
2018-06-19,119
2018-06-20,120
2018-06-21,132
2018-06-22,254
2018-06-23,289
2018-06-24,352
2018-06-25,292
2018-06-26,298
2018-06-27,270
2018-06-28,250
2018-06-29,281
2018-06-30,294
2018-07-01,288
2018-07-02,252
2018-07-03,255
2018-07-04,272
2018-07-05,273
2018-07-06,245
2018-07-07,226
2018-07-08,205
2018-07-09,183
2018-07-10,169
2018-07-11,160
2018-07-12,147
2018-07-13,148
2018-07-14,160
2018-07-15,157
2018-07-16,133
2018-07-17,137
2018-07-18,130
2018-07-19,130
2018-07-20,129
2018-07-21,135
2018-07-22,128
2018-07-23,112
2018-07-24,120
2018-07-25,114
2018-07-26,110
2018-07-27,120
2018-07-28,123
2018-07-29,127
2018-07-30,109
2018-07-31,104
2018-08-01,116
2018-08-02,123
2018-08-03,113
2018-08-04,113
2018-08-05,121
2018-08-06,109
2018-08-07,106
2018-08-08,101
2018-08-09,102
2018-08-10,105
2018-08-11,105
2018-08-12,130
2018-08-13,105
2018-08-14,100
2018-08-15,94
2018-08-16,87
2018-08-17,100
2018-08-18,112
2018-08-19,111
2018-08-20,93
2018-08-21,93
2018-08-22,87
2018-08-23,87
2018-08-24,88
2018-08-25,111
2018-08-26,111
2018-08-27,95
2018-08-28,79
2018-08-29,87
2018-08-30,89
2018-08-31,92
2018-09-01,107
2018-09-02,108
2018-09-03,94
2018-09-04,78
2018-09-05,74
2018-09-06,70
2018-09-07,80
2018-09-08,103
2018-09-09,111
2018-09-10,77
2018-09-11,81
2018-09-12,72
2018-09-13,76
2018-09-14,86
2018-09-15,109
2018-09-16,104
2018-09-17,76
2018-09-18,74
2018-09-19,79
2018-09-20,71
2018-09-21,86
2018-09-22,110
2018-09-23,113
2018-09-24,86
2018-09-25,83
2018-09-26,75
2018-09-27,85
2018-09-28,85
2018-09-29,118
2018-09-30,115
2018-10-01,81
2018-10-02,76
2018-10-03,78
2018-10-04,78
2018-10-05,90
2018-10-06,113
2018-10-07,105
2018-10-08,81
2018-10-09,73
2018-10-10,74
2018-10-11,73
2018-10-12,85
2018-10-13,106
2018-10-14,102
2018-10-15,77
2018-10-16,80
2018-10-17,69
2018-10-18,77
2018-10-19,88
2018-10-20,118
2018-10-21,114
2018-10-22,89
2018-10-23,84
2018-10-24,79
2018-10-25,82
2018-10-26,89
2018-10-27,120
2018-10-28,121
2018-10-29,101
2018-10-30,168
2018-10-31,191
2018-11-01,206
2018-11-02,214
2018-11-03,375
2018-11-04,351
2018-11-05,191
2018-11-06,149
2018-11-07,131
2018-11-08,117
2018-11-09,126
2018-11-10,166
2018-11-11,147
2018-11-12,106
2018-11-13,94
2018-11-14,81
2018-11-15,92
2018-11-16,99
2018-11-17,138
2018-11-18,127
2018-11-19,92
2018-11-20,91
2018-11-21,94
2018-11-22,150
2018-11-23,207
2018-11-24,260
2018-11-25,235
2018-11-26,172
2018-11-27,167
2018-11-28,154
2018-11-29,125
2018-11-30,140
2018-12-01,174
2018-12-02,153
2018-12-03,104
2018-12-04,105
2018-12-05,104
2018-12-06,107
2018-12-07,106
2018-12-08,134
2018-12-09,137
2018-12-10,92
2018-12-11,90
2018-12-12,97
2018-12-13,106
2018-12-14,131
2018-12-15,160
2018-12-16,143
2018-12-17,122
