Time,Playercount
2017-12-14,17
2017-12-15,22
2017-12-16,28
2017-12-17,31
2017-12-18,21
2017-12-19,21
2017-12-20,24
2017-12-21,25
2017-12-22,42
2017-12-23,53
2017-12-24,55
2017-12-25,58
2017-12-26,61
2017-12-27,58
2017-12-28,64
2017-12-29,65
2017-12-30,70
2017-12-31,67
2018-01-01,80
2018-01-02,146
2018-01-03,109
2018-01-04,91
2018-01-05,75
2018-01-06,74
2018-01-07,55
2018-01-08,36
2018-01-09,33
2018-01-10,32
2018-01-11,22
2018-01-12,32
2018-01-13,42
2018-01-14,44
2018-01-15,25
2018-01-16,28
2018-01-17,26
2018-01-18,26
2018-01-19,28
2018-01-20,42
2018-01-21,36
2018-01-22,20
2018-01-23,20
2018-01-24,22
2018-01-25,21
2018-01-26,22
2018-01-27,37
2018-01-28,35
2018-01-29,23
2018-01-30,22
2018-01-31,23
2018-02-01,21
2018-02-02,23
2018-02-03,35
2018-02-04,39
2018-02-05,26
2018-02-06,19
2018-02-07,20
2018-02-08,21
2018-02-09,22
2018-02-10,20
2018-02-11,21
2018-02-12,21
2018-02-13,22
2018-02-14,18
2018-02-15,19
2018-02-16,33
2018-02-17,53
2018-02-18,60
2018-02-19,39
2018-02-20,35
2018-02-21,31
2018-02-22,26
2018-02-23,29
2018-02-24,37
2018-02-25,35
2018-02-26,21
2018-02-27,21
2018-02-28,24
2018-03-01,23
2018-03-02,27
2018-03-03,32
2018-03-04,30
2018-03-05,20
2018-03-06,17
2018-03-07,19
2018-03-08,20
2018-03-09,22
2018-03-10,34
2018-03-11,35
2018-03-12,18
2018-03-13,19
2018-03-14,26
2018-03-15,25
2018-03-16,29
2018-03-17,37
2018-03-18,39
2018-03-19,24
2018-03-20,22
2018-03-21,20
2018-03-22,19
2018-03-23,27
2018-03-24,34
2018-03-25,32
2018-03-26,21
2018-03-27,22
2018-03-28,20
2018-03-29,20
2018-03-30,27
2018-03-31,32
2018-04-01,32
2018-04-02,31
2018-04-03,22
2018-04-04,21
2018-04-05,22
2018-04-06,24
2018-04-07,30
2018-04-08,28
2018-04-09,17
2018-04-10,24
2018-04-11,19
2018-04-12,23
2018-04-13,23
2018-04-14,30
2018-04-15,32
2018-04-16,19
2018-04-17,19
2018-04-18,21
