Time,Playercount
2017-12-14,439
2017-12-15,439
2017-12-16,536
2017-12-17,601
2017-12-18,446
2017-12-19,420
2017-12-20,423
2017-12-21,416
2017-12-22,622
2017-12-23,1168
2017-12-24,1181
2017-12-25,1184
2017-12-26,1289
2017-12-27,1223
2017-12-28,1195
2017-12-29,1134
2017-12-30,1142
2017-12-31,1091
2018-01-01,1066
2018-01-02,978
2018-01-03,1007
2018-01-04,960
2018-01-05,901
2018-01-06,1061
2018-01-07,1153
2018-01-08,834
2018-01-09,838
2018-01-10,774
2018-01-11,626
2018-01-12,1003
2018-01-13,1229
2018-01-14,1269
2018-01-15,877
2018-01-16,849
2018-01-17,809
2018-01-18,1054
2018-01-19,1317
2018-01-20,1857
2018-01-21,1929
2018-01-22,1244
2018-01-23,1090
2018-01-24,1063
2018-01-25,1012
2018-01-26,1118
2018-01-27,1357
2018-01-28,1417
2018-01-29,940
2018-01-30,880
2018-01-31,856
2018-02-01,836
2018-02-02,756
2018-02-03,1149
2018-02-04,1236
2018-02-05,801
2018-02-06,731
2018-02-07,736
2018-02-08,661
2018-02-09,686
2018-02-10,529
2018-02-11,826
2018-02-12,705
2018-02-13,636
2018-02-14,599
2018-02-15,616
2018-02-16,699
2018-02-17,920
2018-02-18,1027
2018-02-19,740
2018-02-20,662
2018-02-21,624
2018-02-22,606
2018-02-23,622
2018-02-24,792
2018-02-25,863
2018-02-26,595
2018-02-27,552
2018-02-28,532
2018-03-01,537
2018-03-02,571
2018-03-03,740
2018-03-04,781
2018-03-05,526
2018-03-06,519
2018-03-07,527
2018-03-08,528
2018-03-09,562
2018-03-10,712
2018-03-11,800
2018-03-12,557
2018-03-13,537
2018-03-14,509
2018-03-15,504
2018-03-16,536
2018-03-17,690
2018-03-18,754
2018-03-19,526
2018-03-20,508
2018-03-21,488
2018-03-22,470
2018-03-23,487
2018-03-24,592
2018-03-25,632
2018-03-26,475
2018-03-27,428
2018-03-28,435
2018-03-29,443
2018-03-30,614
2018-03-31,684
2018-04-01,847
2018-04-02,813
2018-04-03,595
2018-04-04,579
2018-04-05,602
2018-04-06,606
2018-04-07,696
2018-04-08,758
2018-04-09,517
2018-04-10,478
2018-04-11,473
2018-04-12,491
2018-04-13,520
2018-04-14,623
2018-04-15,694
2018-04-16,485
2018-04-17,435
2018-04-18,413
2018-04-19,395
2018-04-20,409
2018-04-21,485
2018-04-22,553
2018-04-23,386
2018-04-24,382
2018-04-25,386
2018-04-26,393
2018-04-27,555
2018-04-28,690
2018-04-29,780
2018-04-30,599
2018-05-01,655
2018-05-02,458
2018-05-03,435
2018-05-04,424
2018-05-05,515
2018-05-06,551
2018-05-07,381
2018-05-08,342
2018-05-09,344
2018-05-10,448
2018-05-11,418
2018-05-12,474
2018-05-13,511
2018-05-14,351
2018-05-15,341
2018-05-16,336
2018-05-17,320
2018-05-18,308
2018-05-19,378
2018-05-20,458
2018-05-21,401
2018-05-22,297
2018-05-23,302
2018-05-24,300
2018-05-25,314
2018-05-26,383
2018-05-27,434
2018-05-28,342
2018-05-29,315
2018-05-30,321
2018-05-31,351
2018-06-01,340
2018-06-02,404
2018-06-03,439
2018-06-04,341
2018-06-05,447
2018-06-06,477
2018-06-07,446
2018-06-08,448
2018-06-09,532
2018-06-10,601
2018-06-11,428
2018-06-12,401
2018-06-13,354
2018-06-14,330
2018-06-15,321
2018-06-16,391
2018-06-17,427
2018-06-18,302
2018-06-19,289
2018-06-20,289
2018-06-21,298
2018-06-22,321
2018-06-23,455
2018-06-24,535
2018-06-25,398
2018-06-26,388
2018-06-27,376
2018-06-28,366
2018-06-29,479
2018-06-30,573
2018-07-01,601
2018-07-02,444
2018-07-03,406
2018-07-04,412
2018-07-05,386
2018-07-06,386
2018-07-07,429
2018-07-08,467
2018-07-09,347
